Literature Review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BibliographyType;Copy & Paste für Tabelle (Dots) —> Incentives & Environment;Copy & Paste für Tabelle (Dots);Copy & Paste für Tabelle (Checkmark);ISBN;Identifier;Author;Title;Journal;Volume;Number;Month;Pages;Year;Address;Note;URL;Booktitle;Chapter;Edition;Series;Editor;Publisher;ReportType;Howpublished;Institution;Organizations;School;Annote;Custom1;Custom2;Custom3;Custom4;Custom5;Contains Incentive?;Latex Incentives & Environment;Economic;Social;No specific incentive;Money / Monetary Reward / Price;Resources (Services, Data);Token / Coin / Virtuelles Guthaben;Status / Reputation;IoT Domain;Forensics;Scenario;Scenario;Technology;Domains (aus Table 4);Strategy;Legislation & Regulation;Governance;Compliance;Training;System & Events;Policy & Procedure;Risk Management;Monitor & Report;Act / All Domains;Device;Network;Cloud;IoT Layer;Technical;Personal;Incentive
7;Duan et al. \cite{8031314} & 2017 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Duan et al. \cite{8031314} & 2017 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Duan et al. \cite{8031314} & 2017 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8031314;"Duan, Zhuojun; Tian, Ling; Yan, Mingyuan; Cai, Zhipeng; Han, Qilong; Yin, Guisheng";Practical Incentive Mechanisms for IoT-Based Mobile Crowdsensing Systems;IEEE Access;5;;;20383-20392;2017;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & MCS & not included & Traffic surveillance and env. Pollution monitoring & Modiefied proportional share auction mechanism \\;1;0;;X;;;;MCS;not included;Environmental Monitoring;Traffic surveillance and env. Pollution monitoring;Modiefied proportional share auction mechanism;Governance, System & Events, Risk Management, Monitor & Report;;;1;;;1;;1;1;;1;0;0;Device;1;0;Technical
7;\rowcolor{gray!25} Yeh et al. \cite{10.1145/3063716} & 2017 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Yeh et al. \cite{10.1145/3063716} & 2017 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Yeh et al. \cite{10.1145/3063716} & 2017 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;10.1145/3063716;"Yeh, Lo-Yao; Tsaur, Woei-Jiunn; Huang, Hsin-Han";Secure IoT-Based, Incentive-Aware Emergency Personnel Dispatching Scheme with Weighted Fine-Grained Access Control;ACM Trans. Intell. Syst. Technol.;9;1;sep;;2017;New York, NY, USA;;https://doi.org/10.1145/3063716;;;;;;Association for Computing Machinery;;;;;;;Emergency response times following a traffic accident are extremely crucial in reducing the number of traffic-related deaths. Existing emergency vehicle dispatching systems rely heavily on manual assignments. Although some technology-assisted emergency systems engage in emergency message dissemination and path planning, efficient emergency response is one of the main factors that can decrease traffic-related deaths. Obviously, effective emergency response often plays a far more important role in a successful rescue. In this article, we propose a secure IoT-based and incentive-aware emergency personnel dispatching scheme (EPDS) with weighted fine-grained access control. Our EPDS can recruit available medical personnel on-the-fly, such as physicians driving in the vicinity of the accident scene. An appropriate incentive, such as paid leave, can be offered to encourage medical personnel to join rescue missions. Furthermore, IoT-based devices are installed in vehicles or wearable on drivers to gather biometric signals from the driver, which can be used to decide precisely which divisions or physicians are needed to administer the appropriate remedy. Additionally, our scheme can cryptographically authorize the assigned rescue vehicle to control traffic to increase rescue efficacy. Our scheme also takes advantage of adjacent roadside units to organize the appropriate rescue personnel without requiring long-distance communication with a trusted traffic authority. Proof of security is provided and extensive analyses, including qualitative and quantitative analyses and simulations, show that the proposed scheme can significantly improve rescue response time and effectiveness. To the best of our knowledge, this is the first work to make use of medical personnel that are close by in emergency rescue missions.;;fine-grained access control, internet of vehicles, Security, biometric authentication, emergency personnel dispatch<!--?pgbrk?-->;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & IoV, Wearable & Partially included (unforgable signature) & emergency response & Biometric signals, cryptography \\;1;0;;X;;;;IoV, Wearable;Partially included (unforgable signature);Emergency Response;emergency response;Biometric signals, cryptography;Risk Management;;;;;;;;1;;;0;0;0;IoT;0;1;Structural (Individual)
6;Adat et al. \cite{8326280} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Adat et al. \cite{8326280} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Adat et al. \cite{8326280} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8326280;"Adat, Vipindev; Dahiya, Amrita; Gupta, B. B.";Economic incentive based solution against distributed denial of service attacks for IoT customers;;;;;1-5;2018;;;;2018 IEEE International Conference on Consumer Electronics (ICCE);;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Smart Home & not included & Solution against DDoS & Secure gateway router, risk transfer mechanism \\;0;0;X;;;;;Smart Home;not included;DDoS Defence;Solution against DDoS;Secure gateway router, risk transfer mechanism;Risk Management, System & Events;;;;;;1;;1;;;0;1;0;Network;0;1;Structural
6;\rowcolor{gray!25} Guo et al. \cite{8422897} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Guo et al. \cite{8422897} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Guo et al. \cite{8422897} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8422897;"Guo, Yunchuan; Fang, Liang; Geng, Kui; Yin, Lihua; Li, Fenghua; Chen, Lihua";Real-Time Data Incentives for IoT Searches;;;;;1-6;2018;;;;2018 IEEE International Conference on Communications (ICC);;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & MCS & not included & Data provision, IoT search service, buyout-auction framework  & Real-time IoT data collection, QoD, auction mechanism, participatory sensing  \\;1;0;;X;;;;MCS;not included;IoT Search Service;Data provision, IoT search service, buyout-auction framework ;Real-time IoT data collection, QoD, auction mechanism, participatory sensing ;Monitor & Report, Risk Management;;;;;;;;1;1;;0;0;0;IoT;1;0;Technical
7;Hasan et al. \cite{HASAN2018821} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Hasan et al. \cite{HASAN2018821} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Hasan et al. \cite{HASAN2018821} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;HASAN2018821;"Hasan, Ragib; Hossain, Mahmud; Khan, Rasib";Aura: An incentive-driven ad-hoc IoT cloud framework for proximal mobile computation offloading;Future Generation Computer Systems;86;;;821-835;2018;;;https://www.sciencedirect.com/science/article/pii/S0167739X1732602X;;;;;;;;;;;;;The rapid growth of mobile applications requires enhanced computational resources in order to ensure better performance, security, and usability. In recent years, the proliferation of the Internet-of-Things (IoT) devices has caused a paradigm shift in computing and communication. IoT devices are making our physical environment and infrastructures smarter, bringing pervasive computing to the mainstream. Given numerous predictions that we will have billions of such devices deployed in the next five years, we have the opportunity to utilize such IoT devices in converting our physical environment into interactive, smart, and intelligent computing infrastructures. In this paper, we present Aura – a highly localized IoT based cloud computing model. Aura allows mobile clients to create ad hoc and flexible clouds using the IoT and other computing devices in the nearby physical environment. Aura provides localized computational capability from untapped computing resources using a task-offloading model for mobile devices. Computations done in Aura are highly flexible, giving clients full control to start, stop, migrate, and restart computations in localized IoT devices as the mobile users move between different physical locations. As an example application of Aura, we have ported a lightweight version of MapReduce to run on IoT devices powered by Contiki OS. The prototype application was utilized to conduct various experimental measurements to evaluate different performance metrics of the proposed system. The paper presents a detailed comparative analysis of Aura with traditional clouds and applications running natively on mobile phones to assert the benefits and feasibility of the model.;;Mobile cloud, Internet of Things, Fog cloud, Edge network, MapReduce;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Ad-hoc & not included & Ad hoc, flexible clouds and computation power & Computation/task offloading \\;1;0;;X;;;;Ad-hoc;not included;Flexible Computing;Ad hoc, flexible clouds and computation power;Computation/task offloading;Risk Management;;;;;;;;1;;;1;0;1;Device/Cloud;0;1;Structural (Individual)
6;\rowcolor{gray!25} Krishna \cite{8355208} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Krishna \cite{8355208} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Krishna \cite{8355208} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8355208;Krishna, M. Bala;Group-based incentive and penalizing schemes for proactive participatory data sensing in IoT networks;;;;;796-801;2018;;;;2018 IEEE 4th World Forum on Internet of Things (WF-IoT);;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & MCS & not included & Mobile crowd sourcing & QoD, proactive data sensing, auction scheme  \\;0;0;X;;;;;MCS;not included;Collaborative Tasks;Mobile crowd sourcing;QoD, proactive data sensing, auction scheme ;System & Events, Monitor & Report;;;;;;1;;;1;;1;1;0;Device, network;1;0;Technical
6;Li et al. \cite{8581017} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Li et al. \cite{8581017} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Li et al. \cite{8581017} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8581017;"Li, Hanwei; Wang, Zhiyuan; Zhang, Xin";Incentive Mechanism Design for Wireless Energy Transfer in IoT;;;;;1-5;2018;;;;2018 IEEE 29th Annual International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC);;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Energy & not included & Wireless Energy transfer & Business model, contract approach, Radio frequency \\;1;0;;X;;;;Energy;not included;Wireless Energy Transfer;Wireless Energy transfer;Business model, contract approach, Radio frequency;Strategy;1;;;;;;;;;;1;1;0;Device, network;1;0;Technical
6;\rowcolor{gray!25} Wu et al. \cite{8567575} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Wu et al. \cite{8567575} & 2018 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Wu et al. \cite{8567575} & 2018 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8567575;"Wu, Bo; Li, Qi; Xu, Ke; Li, Ruoyu; Liu, Zhuotao";SmartRetro: Blockchain-Based Incentives for Distributed IoT Retrospective Detection;;;;;308-316;2018;;;;2018 IEEE 15th International Conference on Mobile Ad Hoc and Sensor Systems (MASS);;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Distributed & Partially included (indirectly) & Retrospective vulnerability Detection, incentive platform, distributed system & Blockchain \\;0;0;X;;;;;Distributed;Partially included (indirectly);Vulnerability Detection;Retrospective vulnerability Detection, incentive platform, distributed system;Blockchain;Monitor & Report, Risk Management;;;;;;;;1;1;;0;0;0;IoT;0;1;Structural
7;Das et al. \cite{8736952} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Das et al. \cite{8736952} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Das et al. \cite{8736952} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8736952;"Das, Avirup; Das, Nabanita; Das Barman, Abhirup; Dhar, Subhankar";Energy Incentive for Packet Relay Using Cognitive Radio in IoT Networks;IEEE Communications Letters;23;9;;1581-1585;2019;;;;;;;;;;;;;;;;;;;;;Yes; &  &  & $\bullet$ &  & $\bullet$ & Energy & not included & Energy Efficient Packet Transfer, multi-hop D2D communication & Multihop, Coginitve Radio (CR) \\;1;0;;;;X;;Energy;not included;Collaborative Tasks;Energy Efficient Packet Transfer, multi-hop D2D communication;Multihop, Coginitve Radio (CR);System & Events, Risk Management;;;;;;1;;1;;;1;1;0;Device, network;1;0;Technical
7;\rowcolor{gray!25} Gan et al. \cite{8770228} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Gan et al. \cite{8770228} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Gan et al. \cite{8770228} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8770228;"Gan, Xiaoying; Li, Yuqing; Huang, Yixuan; Fu, Luoyi; Wang, Xinbing";When Crowdsourcing Meets Social IoT: An Efficient Privacy-Preserving Incentive Mechanism;IEEE Internet of Things Journal;6;6;;9707-9721;2019;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Social, MCS & not included & Multi-hop routing, collaborative tasks, privacy preservation & Multihop, utility maximization problem  \\;1;0;;X;;;;Social, MCS;not included;Collaborative Tasks;Multi-hop routing, collaborative tasks, privacy preservation;Multihop, utility maximization problem ;Governance, Strategy;1;;1;;;;;;;;1;1;0;Device, network;0;1;Structural
